АВС/ DEF;От;До;Емкость;Оператор;Регион
910;5400000;5499999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;5500000;5599999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;5600000;5799999;200000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;5800000;5899999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;5900000;6099999;200000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;6100000;6399999;300000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;6400000;6409999;10000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;6410000;6459999;50000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;6460000;6499999;40000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;6500000;6599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;6600000;6619999;20000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;6620000;6669999;50000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;6670000;6699999;30000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;6700000;6799999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;6800000;6999999;200000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;7000000;7049999;50000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;7050000;7099999;50000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;7100000;7299999;200000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7300000;7319999;20000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;7320000;7329999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7330000;7359999;30000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;7360000;7379999;20000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7380000;7389999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7390000;7399999;10000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;7400000;7409999;10000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;7410000;7419999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7420000;7429999;10000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;7430000;7439999;10000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;7440000;7449999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7450000;7459999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7460000;7469999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7470000;7489999;20000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;7490000;7499999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7500000;7599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;7600000;7699999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7700000;7799999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;7800000;7899999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7900000;7999999;100000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;8000000;8099999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;8100000;8299999;200000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;8300000;8499999;200000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;8500000;8599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;8600000;8699999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;8700000;8999999;300000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;9000000;9099999;100000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;9100000;9199999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;9200000;9299999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;9300000;9399999;100000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;9400000;9499999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;9500000;9599999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;9600000;9799999;200000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;9800000;9999999;200000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
911;0000000;0399999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург и Ленинградская область
